feature_name,unit,short_description,sig_category,expected_direction_notes,xai_review_expected_surprising_flag
NA_Im,tonnes,Non-agri inbound volume (GB→IRE),Shifts in trade volume,Higher volume often increases congestion/waits; sign depends on capacity binding,
NA_Ex,tonnes,Non-agri outbound volume (IRE→GB),Shifts in trade volume,,
A_Im,tonnes,Agri inbound volume (GB→IRE),Shifts in trade volume,Agri may trigger more SPS checks,
A_Ex,tonnes,Agri outbound volume (IRE→GB),Shifts in trade volume,,
Shift_NA_Im_LB_to_Cher,tonnes,Shift non-agri inbound from land-bridge to Cherbourg direct,Direct routes vs land-bridge,,
NA_Im_LB,tonnes,Non-agri inbound via Landbridge,Land-bridge / EU corridor,,
NA_Im_DR,tonnes,Non-agri inbound via Direct route,Direct routes vs land-bridge,,
Shift_NA_Ex_LB_to_Cher,tonnes,Shift non-agri outbound (LB→Cherbourg),Direct routes vs land-bridge,,
NA_Ex_LB,tonnes,Non-agri outbound via Landbridge,Land-bridge / EU corridor,,
NA_Ex_DR,tonnes,Non-agri outbound via Direct route,Direct routes vs land-bridge,,
Shift_A_Im_LB_to_Cher,tonnes,Shift agri inbound (LB→Cherbourg),Direct routes vs land-bridge,,
A_Im_LB,tonnes,Agri inbound via Landbridge,Land-bridge / EU corridor,,
A_Im_DR,tonnes,Agri inbound via Direct route,Direct routes vs land-bridge,,
Shift_A_Ex_LB_to_Cher,tonnes,Shift agri outbound (LB→Cherbourg),Direct routes vs land-bridge,,
A_Ex_LB,tonnes,Agri outbound via Landbridge,Land-bridge / EU corridor,,
A_Ex_DR,tonnes,Agri outbound via Direct route,Direct routes vs land-bridge,,
VCap_Dub_Hey,trailers,Vessel capacity Dublin→Heysham,Land-bridge vessel capacity (IRE–GB),Higher capacity can reduce delay;,
VCap_Dub_Holy,trailers,Vessel capacity Dublin→Holyhead,Land-bridge vessel capacity (IRE–GB),,
VCap_Dub_Liv,trailers,Vessel capacity Dublin→Liverpool,Land-bridge vessel capacity (IRE–GB),,
VCap_Ross_Fish,trailers,Vessel capacity Rosslare→Fishguard,Land-bridge vessel capacity (IRE–GB),,
VCap_Ross_Pem,trailers,Vessel capacity Rosslare→Pembroke,Land-bridge vessel capacity (IRE–GB),,
ChkTime_Doc,minutes,Documentary check time,Customs expertise & resources,Longer checks increase time at checkpoints,
ChkTime_Phy,minutes,Physical inspection time,Customs expertise & resources,,
NumCusShed_D,count,Customs sheds at Dublin,Customs expertise & resources,More resources may reduce utilisation/queues,
NumDAFM_D,count,DAFM bays at Dublin,Customs expertise & resources,,
NumCusShed_R,count,Customs sheds at Rosslare,Customs expertise & resources,,
NumDAFM_R,count,DAFM bays at Rosslare,Customs expertise & resources,,
Pct_NA_OB_Green,fraction,Fraction non-agri outbound → green route,Border checks intervention,,
Pct_NA_OB_Red,fraction,Fraction non-agri outbound → red route,Border checks intervention,,
Pct_A_OB_Red,fraction,Fraction agri outbound → red route,Border checks intervention,,
Pct_NA_IB_Green,fraction,Fraction non-agri inbound → green route,Border checks intervention,,
Pct_NA_IB_Red,fraction,Fraction non-agri inbound → red route,Border checks intervention,,
Pct_A_IB_Red,fraction,Fraction agri inbound → red route,Border checks intervention,,
Pct_IB_PreBoard,fraction,Fraction inbound stopped (pre-boarding),Border checks intervention,,
Pct_OB_PreBoard,fraction,Fraction outbound stopped (pre-boarding),Border checks intervention,,
